,text,explanation,origin
58,A riddle wrapped up in an enigma,'A riddle wrapped up in an enigma' is a puzzle - something especially difficult to understand or to solve.,English
59,A rolling stone gathers no moss,Someone who does not settle in one place rarely prospers.,English
60,A rose by any other name would smell as sweet,"The saying 'A rose by any other name would smell as sweet' means that what matters is what something is, not what it is called.",English
61,A rose is a rose is a rose,"The meaning most often attributed to 'a rose is a rose is a rose' is the notion that, when all is said and done, a thing is what it is. This is in similar vein to Shakespeare's 'a rose by any other name would smell as sweet'. However, that's not the interpretation given by the author of the phrase - see below. ",English
62,A safe pair of hands,"A
reliable, if somewhat dull, person who can be entrusted not to make a mistake
with a task.",English
63,A sea change,"A
radical change or transformation.",English
64,A skeleton in the closet,"The expression 'a skeleton in the closet' refers to a secret source of shame, potentially ruinous if exposed, which a person or family makes efforts to conceal.",English
65,A sledgehammer to crack a nut,To use 'a sledgehammer to crack a nut' means to use disproportionate force or expense to overcome a minor problem. ,English
66,A shot in the arm,"A
stimulus.",English
67,A sight for sore eyes,A welcome sight;  someone or something you are glad to see.,English
68,A sorry sight,A regrettable and unwelcome aspect or feature. Now also used to mean something or someone of untidy appearance. ,English
69,A stitch in time saves nine,A 'stitch in time' is a timely effort that will prevent more work later.,English
70,A stone's throw,"A
short distance.",English
71,A thing of beauty is a joy forever,The experience of beauty is blissful and lasting.,English
72,A tinker's damn,Something that is insignificant or worthless.,English
73,A turn up for the books,An unexpected piece of good fortune. ,English
74,A watched pot never boils,The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,English
75,A wolf in sheep's clothing,'A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness. ,English
76,A woman needs a man like a fish needs a bicycle,"""A woman needs a man like a fish needs a bicycle"" is a
feminist slogan, humorously expressing the view that a woman can live her life perfectly well without a man. ",English
77,A woman's place is in the home,Literal meaning.,English
78,A word in edgeways,Join a conversation in which another is speaking continually and leaving little opportunity for others. ,English
79,A word in your shell-like,"I
would like to talk to you.",English
80,A young man's fancy,The expression 'A young man's fancy' alludes to  light  thoughts of romantic love.,English
81,A1 at Lloyds,The highest quality.,English
82,Abandon all hope ye who enter here,"'Abandon hope all ye who enter here' is the
 supposed inscription at the entrance to Hell.",English
83,Abide with me,"The name of the well-known Christian hymn, written by Henry
 Francis Lyte in 1847. A plea for God to be always present, in one's life and through death. ",English
84,About face,Change direction.,English
85,About turn,Change direction.,English
86,Above board,"Openly; without
any trickery.",English
87,Abracadabra,An exclamation used by conjurers when performing  tricks.,English
88,Absence makes the heart grow fonder,The missing of a person or thing increases the desire for it.,English
89,Absent without leave,Absent without permission.,English
90,Absolute power corrupts absolutely,"The proverbial saying 'power corrupts; absolute power corrupts absolutely'  conveys the opinion that, as a person's power increases, their moral sense diminishes.",English
91,Accidentally on purpose,"Deliberately,
but feigning accident.",English
92,Accidents will happen,"Things sometimes go wrong, despite our best efforts.",English
93,According to Hoyle,In accord with the highest authority; in accord with a strict set of rules.,English
94,Ace in the hole,"Something
that can supply a sure victory when revealed.",English
95,Achilles' heel,"An Achilles' heel is a 
weak or vulnerable factor - especially one where all other components are strong.",English
96,Acid test,"A
sure test, giving an incontestable result.",English
97,Acronyms,Acronyms are words which are formed from the initial letters of other words. ,English
98,Across the board,Embracing all classes or categories without exception.,English
99,Act of God,"An
act which is accepted legally as being outside human control.",English
100,Act the giddy goat,Behave foolishly. ,English
101,Action man,"A dynamic, macho type of man. ",English
102,Actions speak louder than words,This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,English
103,Adam's ale,Water.,English
104,Adversity makes strange bedfellows,"The proverbial saying 'adversity makes strange bedfellows' suggests that, in times of trouble, people who wouldn't normally associate with each other may form an alliance.",English
105,After the fact,"'After the fact' means after an action is performed; in legal parlance, after a crime has been committed.",English
106,Aga saga,An 'aga saga' is a genre of popular fiction usually set in comfortable middle-class English homes.,English
107,Against the grain,"Against
one's inclination or natural tendency.",English
108,Age before beauty,"Older people should be given precedence over the younger and, by implication, more beautiful. This is normally used jocularly, often by the older person in order to flatter the younger. ",English
109,"Age cannot wither her, nor custom stale her infinite variety","From
Shakespeare's Antony and Cleopatra, 1606:",English
110,Agree to disagree,Set aside an irreconcilable difference in order to maintain a civil dialogue.,English
111,Aid and abet,"To help and encourage, usually in the commission of a crime or anti-social act. ",English
112,Aide-mémoire,"'To aid memory' - a literal translation
from the French.",English
113,Air kiss,The act of greeting (or sometimes of farewell) by making a kissing gesture into the air while brushing cheeks - or in a near miss. ,English
114,Air quotes,"A gesture with raised pairs of fingers, when making a statement, to simulate quotation marks. It indicates that what is being said is ironic or otherwise not to be taken verbatim.",English
115,Al fresco,"From the Italian, literally translated as 'in the fresh'. In English, used to mean either 'in the open air' or, where specifically related to mural painting, 'on fresh plaster'. ",English
116,"Alas, poor Yorick! I knew him, Horatio","The dramatic line 'Alas, poor Yorick! I knew him, Horatio' comes from Shakespeare's Hamlet. Hamlet speaks the line in a graveyard, as a meditation on the fragility of life, as he looks at the skull of  Yorick. ",English
117,Alike as two peas in a pod ,'Two peas in a pod' are two identical items or people.,English
118,Alive and kicking,Definitely alive; lively and active. ,English
119,All agog,"Excited, in high spirits; in eager expectation. ",English
120,All at sea,In a state of confusion and disorder. ,English
121,All fingers and thumbs,"Clumsy, unable to hold things steadily in one's hands. 'All fingers and thumbs' is how we might describe ourselves during a temporary loss of manual dexterity. ",English
122,All Greek to me,It was unintelligible to me. ,English
123,All in all,All things having been taken into account. ,English
124,All intents and purposes,In effect; for all practical purposes.,English
125,All mouth and no trousers,"'All mouth and no trousers' means 'loud-mouthed and boastful, but lacking in substance'.",English
126,All of a sudden,'All of a sudden' means suddenly. ,English
127,All present and correct,"Everything, or everyone, is accounted for.",English
128,All publicity is good publicity,"'There is no such thing as bad publicity' is the notion that all mentions in the media aid a person's cause, even if they put them in a bad light.",English
129,"All singing, all dancing",Full of verve and vitality; more recently - with many features or attributes.,English
130,All systems go,'All systems go' is what someone might say when all systems are functional and ready to proceed. ,English
131,All that glitters is not gold / All that glisters is not gold,The proverbial saying 'All that glitters is not gold' means that not everything that is shiny and superficially attractive  is  valuable.,English
132,All the tea in China - Not for ,Not at any price.,English
133,All things come to those who wait,"A literal meaning, advocating patience.",English
134,All things must pass,Nothing lasts forever.,English
135,All you can eat,A restaurant advertising slogan (usually followed by a price). ,English
136,All's fair in love and war,"The proverbial saying 'All's fair in love and war' expresses the idea that, like war, where any strategy is accepted, affairs of the heart are also  no-holds-barred contests.",English
137,All work and no play makes Jack a dull boy,The proverbial saying 'All work and no play makes Jack a dull boy' expresses the idea that working constantly and making no time for enjoyment makes one bored and boring.,English
138, Alter ego,A second self. ,English
139,Amber nectar,Lager.,English
140,An albatross around one's neck,"A
burden which some unfortunate person has to carry.",English
141,An apple a day keeps the doctor away,"The proverb 'An apple a day keeps the doctor away' has a straightforward literal, and very probably correct, meaning - that the eating of fruit maintains good health.",English
142,An arm and a leg ,"A large, possibly exorbitant, amount of money. ",English
143,An axe to grind,"To have an axe to grind is to have a dispute to take up with someone or, to have an ulterior motive; to have private ends to serve.",English
144,An Englishman's home is his castle,The English dictum that a man's home is his refuge. ,English
145,"An eye for an eye, a tooth for a tooth","The proverb 'an eye for an eye, a tooth for a tooth' expresses the notion that for every wrong done there should be a compensating measure of justice.",English
146,An ill wind ,A misfortune.,English
147,An offer he can't refuse,"The
 'offer' being 'do as I say or I'll kill you'.",English
148,An Oxford scholar,"A
dollar.",English
149,Anchors aweigh,"Said in preparation of getting underway, especially of a ship. ",English
150,Angry young man,"Often applied to the British 'kitchen sink' playwrights of the 1950s. Also anyone, particularly young men obviously, who rails against the establishment. ",English
151,Ankle biter,A small child. Also applied to small dogs. ,English
152,Annus horribilis,A horrible year.,English
153,"Another day, another dollar","The proverbial phrase 'another day, another dollar' is a weary resignation that the day to come will be one of tedious work, the only benefit being the small amount of payment at the end of it. ",English
154,Another think coming,"To have 'another think coming' is to be greatly mistaken. The phrase is usually spoken by an antagonist as 'you have another think coming'; the implication being that one will shortly be obliged to adopt a different viewpoint, either by the presentation of indisputable evidence, or by force. ",English
155,Apple of my eye - The ,"The apple of one's eye originally referred to the central aperture of the eye. Figuratively it is something, or more usually someone, cherished above others. ",English
156,Apple pie order,"Tidy
and well-ordered.",English
157,April fool,"The
victim of a trick played on April 1st, or the trick itself. ",English
158,Arm candy - see ear candy,Music with an instant appeal but with little lasting significance.,English
159,Arms akimbo,"A stance, with the hands on the hips and elbows directed outwards. ",English
160,"Ars longa, vita brevis","The translation into Latin of part of a quotation by the Greek 'Father of Medicine' - Hippocrates.
",English
161,Arty-farty,"Pertaining to, or having an interest in, the arts - often pretentiously and affectedly so. ",English
162,Asap - As soon as possible,Literal meaning.,English
163,As X as Y,A simile is a comparison of one thing with another.,English
164,As alike as two peas in a pod ,'Two peas in a pod' are two identical items or people.,English
165,As bald as a coot,"Completely
          bald.",English
166,As black as Newgate's knocker," 'As black as Newgate's knocker' means pitch
          black.",English
167,As bold as brass, The simile 'as bold as brass' means 'very bold; blatant.,English
168,As brown as a berry,Entirely or very brown; often referring to a suntanned skin. ,English
169,As busy as a bee,Very busy.,English
170,As busy as a one-armed paperhanger, The simile 'as busy as a one-armed paperhanger' means 'frenetically busy'.,English
171,As cold as any stone,Very cold.,English
172,As cool as a cucumber,'As cool as a cucumber' means calm and unruffled.,English
173,As cute as a bug's ear,Very cute.,English
174,As daft as a brush,To be 'as daft as a brush' is to be very stupid or foolish.,English
175,As dead as a dodo,Unambiguously and unequivocally dead.,English
176,As dead as a doornail,"To be 'as dead as a doornail' is to be utterly dead,  devoid of life (when applied to people, plants or animals) or finished with, unusable (when applied to inanimate objects). ",English
177,As different as chalk and cheese,Two things that are  very different from each other. ,English
178,As easy as pie ,Very easy.,English
179,As fast as greased lightning,Very fast.,English
180,As fine as frog's hair,"Extremely fine, that is, delicate and slender.",English
181,As fit as a butcher's dog,Very fit.,English
182,As fit as a fiddle,To be 'as fit as a fiddle' is to be very fit and well.,English
183,As good as gold,Well-behaved and obedient.,English
184,As good luck would have it,If something is 'as good luck would have it' it has come about by some fortunate chance.,English
185,As happy as...,"Regular readers of this mailing list will know that it has often featured 'as x as y' similes. These provide a rich source of colour in the language and most English speakers will be familiar with hundreds of them (see this list). The term's usual format makes a link between some creature or object, say 'a dodo', and a well-known property of the same, that is, 'dead', and that applies to virtually all examples of this type of simile, e.g. 'as black as coal/pitch/the ace of spades', 'as white as a sheet/ghost/snow'. However this pattern breaks down when it comes to happiness. Larks and dogs with two tails fit the bill as creatures known to be happy but the three best-known 'happy' similes are 'as happy as a clam/a sandboy/Larry'. It is not now common knowledge as to why clams, sandboys or Larry should have been happy. For the phrases to have been adopted into the language in the first place such knowledge must have been widespread at some time. Let's see if we can resurrect it. ",English
186,As happy as a clam,Very happy and content.,English
187,As happy as a sandboy,Very happy and content.,English
188,As happy as Larry,"Very
happy.",English
189,As high as a kite,"Highly excited, or under the influence of drink or drugs.",English
190,As keen as mustard,Very enthusiastic.,English
191,As mad as a hatter,"Completely
          mad. This is now commonly understood to mean crazy, although the original meaning is unclear and may have meant annoyed. ",English
192,As mad as a March hare,"To be 'as mad as a March hare' is to be completely
              mad.",English
193,As nice as ninepence,"Neat, tidy, well-ordered. ",English
194,As old as Methuselah,"Very
old.",English
195,As old as the hills,Exceedingly old.,English
196,As pleased as Punch,"Very
pleased.",English
197,As pure as the driven snow,Entirely pure.,English
198,As safe as houses,Completely safe and secure.,English
199,As queer as a nine bob note,"Odd
or unusual. Also used to mean homosexual. ",English
200,As snug as a bug in a rug,To be 'as snug as a bug in a rug' is to be very comfortable and cosy.,English
201,As straight as a die,Completely straight.,English
202,As the crow flies,"In a direct line, without any of the detours caused by following a road.",English
203,As thick as thieves,Close friends with; sharing  confidences.,English
204,As thick as two short planks,Exceedingly stupid.,English
205,As white as snow,"Pure white. What better to symbolise whiteness than snow? Not only the intensity of colour on a bright winter's day, but also the purity of untrodden snow is summoned up by the simile. Shakespeare used this association to good effect in as pure as the driven snow. ",English
206,Ashes to ashes dust to dust,The phrase 'ashes to ashes' expresses the notion that we come from dust and we return to dust. ,English
207,Ask a silly question and you'll get a silly answer,Literal meaning.,English
208,(Ask not) for whom the bell tolls,"'For whom the bells tolls' is a quotation from a work by John Donne, in which he explores the interconnectedness of humanity.",English
209,"(H)asta la vista, baby",'Hasta la vista' translates from the Spanish as 'see you later'.,English
210,At loggerheads,In dispute with.,English
211,At one fell swoop,'At one fell swoop' means 'suddenly; in a single action'.,English
212,At one's beck and call,To be at someone's beck and call is to be entirely subservient to them; to be responsive to their slightest request.,English
213,At one's wit's end,To be at your wit's end is to be perplexed; unable to think what to do.,English
214,At sixes and sevens,"A state of confusion and disorder, or of disagreement between parties.",English
215,Attack is the best form of defence,The proverbial phrase 'attack is the best form of defence' expresses the opinion that a pre-emptive strike is the best way to defend yourself.,English
216,Augur well,"To foreshadow a successful outcome, indicated by some circumstance or event.",English
217,Auld lang syne,"The Anglicized version of 'auld lang syne', which means old long-since or old long-ago. ",English
218,Away with the fairies,Not facing reality; in a dream-world.,English
219,Baby blues,"Feelings of depression or anxiety, experienced by some mothers following childbirth.",English
220,Baby boomer,"A person born during the temporary peak in the birth-rate that occurred in several countries following WWII, notably the USA and the UK. ",English
221,Baby father,The father of an infant who is not married to or in an exclusive relationship with the mother.,English
222,Back of beyond - The ,A lonely forsaken place.,English
223,Back-seat driver,"Someone
who criticizes from the sidelines.",English
224,Back the field,"Place a bet on all the horses in a race, except one.",English
225,Back to basics,"A
return to previously held values of decency.",English
226,Back to square one,'Back to square one' means back to the beginning; start again.,English
227,Back to the drawing board,Start again on a new design  or plan after the  failure of an earlier attempt.,English
228,Backroom boy,"One
who works in anonymity in an organization while others take on more public roles.",English
229,Backward in coming forward,Shy or reluctant to do something. Here 'backward' means shy or unwilling; 'come forward' means present oneself into view.,English
230,Bacon - Bring home the,"To earn money, particularly for one's family; to be successful, especially financially successful. ",English
231,Bad books,To be in disgrace or out of favour.,English
232,Bad egg,Someone or something that disappoints expectations. ,English
233,Bad hair day,"A
'bad hair day' originally had a literal meaning - a day on which one's hair seems unmanageable. The expression's meaning has been extended to mean a day when everything seems to go wrong.",English
234,Bad money drives out good,"The proverbial saying 
'bad money drives out good' can be understood literally. It is known as Gresham's Law, which is that money which is labelled as 'bad' will harm the prospects of money that is labelled as 'good'. Of course, we need to know what bad and good money are to understand that (see below).",English
235,Badger to death,Harass or persecute.,English
236,Bag and baggage,One's bag and baggage is the sum total of  one's possessions.,English
237,Baker's dozen,"A baker's dozen is 13 (or, more rarely, 14). ",English
238,Balance of power - The ,"The
distribution of power between nations in such a way that no single state has dominance
over the others.",English
239,Balance of trade - The,"The
difference between the value of the imports and exports that a nation makes.",English
240,Bald as a coot,"Completely
          bald.",English
241,Bale out/bail out,"Various meanings, including 'making an emergency parachute escape from an aeroplane' and 'ladling water from a boat'. ",English
242,Ball and chain,"A 20th century slang term, meaning wife.",English
243,Bandy words ,"To
argue persistently.",English
244,Bane of your life,The agent of ruin or woe.,English
245,Bang on about,Talk repetitively and boringly about something.,English
246,Baptism of fire,"An
ordeal or martyrdom. More recently, a soldier's first experience of battle.",English
247,Barge-pole - Wouldn't touch with a ,Said of something or someone so unappealing that one wouldn't want to go anywhere near.,English
248,Barking mad,Insane; intensely mad.,English
249,Barking up the wrong tree,Making a mistake or a false assumption in something you are trying to achieve.,English
250,Barrel of laughs,The source of abundant fun and enjoyment.,English
251,Basket case,"An
infirm or failing person or thing - unable to  function properly. Originally
this referred to soldiers who had lost arms and legs and had to be carried by others. More recently it has been used to denounce a failing organisation or scheme and is less often applied to people. ",English
252,Bated breath,Breathing that is subdued because of some emotion or difficulty. ,English
253,Bats in the belfry,Crazy; eccentric. ,English
254,Batten down the hatches,Prepare for trouble.,English
255,Battle royal,General mayhem; a free-for-all fight.,English
256,"Be afraid, be very afraid","Ostensibly, a warning that something dangerous is imminent. In reality, this is usually said with comic intent. The thing being warned of is more likely to be mildly unwelcome than actually dangerous; for example, ""That fierce librarian was asking about your overdue books - be afraid, be very afraid.""",English
257,Be enthralled,To be captivated; to be held spellbound by pleasing qualities.,English
258,"Be still, my beating heart","'Be still, my beating heart' is an expression of excitement when seeing the object of one's romantic affections.",English
259,Beam ends - On your,Hard up; in a bad situation. ,English
260,Bean counter,"A disparaging term for an accountant, or anyone   excessively concerned with  statistical records or accounts. ",English
261,Beast with two backs,Partners engaged in sexual intercourse.,English
262,Beat a hasty retreat,Withdraw rapidly.,English
263,Beat around the bush,To prevaricate and avoid coming to the point.,English
264,Beat swords into ploughshares,Turn to peaceful pursuits and away from war.,English
265,Beat the living daylights out of someone,"To beat the living daylights out of someone is to beat them severely, to the point where they lose consciousness. ",English
266,Beauty is in the eye of the beholder,'Beauty in the eye of the beholder' has a literal meaning - that the perception of beauty is subjective - what one person finds beautiful another may not. ,English
267,Beauty is only skin deep,Physical beauty is superficial.,English
268,Beck and call,To be at someone's beck and call is to be entirely subservient to them; to be responsive to their slightest request.,English
269,Bed of roses,The expression 'a bed of roses' describes a pleasant or easy situation.,English
270,Bee in your bonnet,"Preoccupied
or obsessed with an idea.",English
271,Beef and reef,"A type of cuisine that combines both meat and seafood (especially lobster and steak), or restaurants that serve such cuisine.",English
272,Beelzebub has a devil for a sideboard,Misheard lyric.,English
273,"Been there, done that","When someone says ""been there, done that"" they mean that whatever is being talked about is commonplace to them, to the point of boredom.",English
274,Beer and skittles,'Beer and skittles' is shorthand for a life of indulgence spent in the pub.,English
275,Beer goggles,"Having your 'beer goggles' on means you are sexually attracted to someone, who you wouldn't normally find attractive, because you are drunk.",English
276,Bee-line - make a bee-line for ,Go directly towards.,English
277,Bee's knees - The ,If something is said to be the bee's knees it is excellent - the highest quality.,English
278,Beetle-browed,"With a furrowed or prominent brow, or worried expression. Formerly, with large or bushy eyebrows.",English
279,Before the fact,"'After the fact' means after an action is performed; in legal parlance, after a crime has been committed.",English
280,Before you can say Jack Robinson ,In a very short time; suddenly. ,English
281,Beg the question,This is one of those rare phrases in which the meaning is more debated than the origin. ,English
282,Beggar belief,To defy or go beyond what is believable. ,English
283,Beggars can't be choosers,If you request something to be given you should not question what you are given. ,English
284,Behind every great man there's a great woman,'Behind every great man there's a great woman' has a straightforward literal meaning. The implication behind the saying is that the great woman is often ignored or taken for granted.,English
285,Behind the eight ball,A difficult position from which it is unlikely one can escape.,English
286,"Bell, book and candle","The phrase 'bell, book and candle' is the final line of an incantation denoting excommunication from the Catholic church.",English
287,Bell the cat,"To hang a bell around a cat's neck to provide a warning. Figuratively, the expression refers to any task that is difficult or impossible to achieve.",English
288,Belle of the ball,The most attractive woman at a social gathering. ,English
289,Below the belt,"An unfair, underhand tactic.",English
290,Below the salt,Common or lowly. See also 'beyond the pale'.,English
291,Bells and whistles,Attractive additional features or fittings,English
292,Belt and braces,'Belt and braces' means being careful -  taking double measures to avoid risk. It alludes to the use of both belt and braces to hold up a person's trousers.,English
293,Belt up,"'Be quiet'. Also, since the introduction of car seat belts - an injunction to fasten one's belt.",English
294,Best bib and tucker,One's best clothes.,English
295,Best laid schemes of mice and men - The ,The most carefully prepared plans may go wrong.,English
296,Bet your bottom dollar,Bet your last coin.,English
297,Better half ,My husband or my wife. ,English
298,Better late than never,"To arrive or do something later than expected isn't good, but it is better than not at all.",English
299,Better to have loved and lost than never to have loved at all,The proverbial saying 'It's better to have loved and lost than never to have loved at all' has a straightforward literal meaning.,English
300,Between a rock and a hard place,"In difficulty, faced with a choice between two unsatisfactory options.",English
301,Between the Devil and the deep blue sea,"In difficulty, faced with two dangerous alternatives.",English
302,Between two stools,"To be 'between two stools' is to fail, due to being unable to choose between two alternatives.",English
303,"Between you, me and the bed-post","The phrase 'between you, me and the bed-post' is used when divulging a secret; something that only the speaker and the listener should hear.",English
304,Beware of Greeks bearing gifts,Don't trust your enemies.,English
305,Beware the Ides of March ,The Ides of March is just the 15th of March.,English
306,Beyond a shadow of a doubt,"If something is said to be 'beyond a shadow of a doubt' the speaker is certain that it is true, with no possibility of ambiguity.",English
307,Beyond belief,Outside the range of what is normally considered  believable. ,English
308,Beyond our ken,Beyond our understanding.,English
309,Beyond the pale,To be 'beyond the pale' is to be unacceptable; outside agreed standards of decency.,English
310,Biblical phrases,"
The King James Version of the Bible has been enormously influential in the development of the English language. It ranks with the complete works of Shakespeare and the Oxford English Dictionary as one of the cornerstones of the recorded language. After Shakespeare, the King James, or Authorized, Version of the Bible is the most common source of phrases in English. The King James in question was James I of England and James VI of Scotland. He didn't write the text of course, he merely authorized it, hence the name by which the book is best known in the UK (King James Version, or KJV, being more commonly used in the USA).

",English
311,Big Apple - The ,"Nickname
for New York, USA.",English
312,Big cheese - The ,The most important person.,English
313,Big Easy - The ,"Nickname
for New Orleans, USA, referring
to the easy-going, laid back attitude to life that jazz musicians and local residents indulge in there.",English
314,Big fish in a small pond - A,Someone who is important but only within a limited area of influence.,English
315,Big fleas have little fleas upon their back to bite 'em,"Everyone is preyed up[on by someone, who in turn has someone preying on them.",English
316,Big wig,"An important person. Now usually spelled as single word, 'bigwig'.",English
317,(A) bigger bang for your buck,More for your money.,English
318,Bill Stickers is innocent,"Play on words, based on 'Bill Stickers...' notices.",English
319,Billy-o - Like ,"An extreme standard of comparison; for example, ""It rained like billy-o; we were all soaked through."". ",English
320,Billy no mates,Someone with no friends.,English
321,Binge drinking,Drinking to excess in a short space of time. ,English
322,Bird in the hand is worth two in the bush - A ,"The proverb 'A bird in the hand is worth two in the bush' means  that it's
          better to hold onto something you  have rather than take the risk of getting something better  which may come to nothing.",English
323,Birds and the bees - The ,'The birds and the bees' is a  phrase that refers to coy explanations about sex and reproduction that are given to children. ,English
324,Birds of a feather flock together,Those of similar taste congregate in groups.,English
325,Bite the bullet,Accept the inevitable impending hardship and endure the resulting pain with fortitude.,English
326,Bite the dust,"Fall to the ground, wounded or dead.",English
